awardYear,category,categoryFullName,dateAwarded,prizeAmount,prizeAmountAdjusted,linksHref,laureateID,laureateName,laureateSortOrder
1901,Chemistry,The Nobel Prize in Chemistry,1901-11-12,150782,9704878,https://api.nobelprize.org/2/nobelPrize/che/1901,160,Jacobus H. van 't Hoff,1
1901,Literature,The Nobel Prize in Literature,1901-11-14,150782,9704878,https://api.nobelprize.org/2/nobelPrize/lit/1901,569,Sully Prudhomme,1
1901,Peace,The Nobel Peace Prize,1901-12-10,150782,9704878,https://api.nobelprize.org/2/nobelPrize/pea/1901,462,Henry Dunant,1
1901,Peace,The Nobel Peace Prize,1901-12-10,150782,9704878,https://api.nobelprize.org/2/nobelPrize/pea/1901,463,Frédéric Passy,2
1901,Physics,The Nobel Prize in Physics,1901-11-12,150782,9704878,https://api.nobelprize.org/2/nobelPrize/phy/1901,1,Wilhelm Conrad Röntgen,1
1901,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1901-10-30,150782,9704878,https://api.nobelprize.org/2/nobelPrize/med/1901,293,Emil von Behring,1
1902,Chemistry,The Nobel Prize in Chemistry,1902-11-11,141847,9129789,https://api.nobelprize.org/2/nobelPrize/che/1902,161,Emil Fischer,1
1902,Literature,The Nobel Prize in Literature,1902-11-13,141847,9129789,https://api.nobelprize.org/2/nobelPrize/lit/1902,571,Theodor Mommsen,1
1902,Peace,The Nobel Peace Prize,1902-12-10,141847,9129789,https://api.nobelprize.org/2/nobelPrize/pea/1902,464,Élie Ducommun,1
1902,Peace,The Nobel Peace Prize,1902-12-10,141847,9129789,https://api.nobelprize.org/2/nobelPrize/pea/1902,465,Albert Gobat,2
1902,Physics,The Nobel Prize in Physics,1902-11-11,141847,9129789,https://api.nobelprize.org/2/nobelPrize/phy/1902,2,Hendrik A. Lorentz,1
1902,Physics,The Nobel Prize in Physics,1902-11-11,141847,9129789,https://api.nobelprize.org/2/nobelPrize/phy/1902,3,Pieter Zeeman,2
1902,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1902-10-30,141847,9129789,https://api.nobelprize.org/2/nobelPrize/med/1902,294,Ronald Ross,1
1903,Chemistry,The Nobel Prize in Chemistry,1903-11-12,141358,8830717,https://api.nobelprize.org/2/nobelPrize/che/1903,162,Svante Arrhenius,1
1903,Literature,The Nobel Prize in Literature,1903-11-19,141358,8830717,https://api.nobelprize.org/2/nobelPrize/lit/1903,572,Bjørnstjerne Bjørnson,1
1903,Peace,The Nobel Peace Prize,1903-12-10,141358,8830717,https://api.nobelprize.org/2/nobelPrize/pea/1903,466,Randal Cremer,1
1903,Physics,The Nobel Prize in Physics,1903-11-12,141358,8830717,https://api.nobelprize.org/2/nobelPrize/phy/1903,4,Henri Becquerel,1
1903,Physics,The Nobel Prize in Physics,1903-11-12,141358,8830717,https://api.nobelprize.org/2/nobelPrize/phy/1903,5,Pierre Curie,2
1903,Physics,The Nobel Prize in Physics,1903-11-12,141358,8830717,https://api.nobelprize.org/2/nobelPrize/phy/1903,6,Marie Curie,3
1903,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1903-10-15,141358,8830717,https://api.nobelprize.org/2/nobelPrize/med/1903,295,Niels Ryberg Finsen,1
1904,Chemistry,The Nobel Prize in Chemistry,1904-11-08,140859,8799545,https://api.nobelprize.org/2/nobelPrize/che/1904,163,Sir William Ramsay,1
1904,Literature,The Nobel Prize in Literature,1904-11-17,140859,8799545,https://api.nobelprize.org/2/nobelPrize/lit/1904,573,Frédéric Mistral,1
1904,Literature,The Nobel Prize in Literature,1904-11-17,140859,8799545,https://api.nobelprize.org/2/nobelPrize/lit/1904,574,José Echegaray,2
1904,Peace,The Nobel Peace Prize,1904-12-10,140859,8799545,https://api.nobelprize.org/2/nobelPrize/pea/1904,467,,1
1904,Physics,The Nobel Prize in Physics,1904-11-08,140859,8799545,https://api.nobelprize.org/2/nobelPrize/phy/1904,8,Lord Rayleigh,1
